sentence1,sentence2,label,id
"cyclists lean into a turn, behind them is a barricade and behind that are people watching the cycling race.",people watching cyclists,0,snli_15190
A basketball player jumps up with the ball as two others watch.,A tall basketball player jumps up with the ball as two others watch.,1,snli_513307
Two women walk down the street.,The women are riding a tandem bicycle.,2,snli_131333
"Though the theater relented when Arthur Miller, Wendy Wasserstein, and other top playwrights howled, most critics still paint the incident as a free-speech outrage.",The playwrights had a right to be angry.,1,mnli_264285
A man in a red and white jersey is hitting a man in a blue and white jersey during a field hockey game.,The men are playing touch football.,2,snli_439583
A city worker sweeps trash from sidewalk.,A woman is sweeping trash.,1,snli_224147
"A little girl in a pink, floppy hat takes a photograph with a big camera.",A girl is having her photo taken,2,snli_538795
"Third, CPAs and other professionals are paid for their judgment.","Other professionals don't get paid, but CPAs do.",2,mnli_390327
Two people in water.,There are people in water.,0,snli_383527
"In St. Peter's Square (Piazza San Pietro), Bernini has performed one of the world's most exciting pieces of architectural orchestration.",It took Bernini thirty years to complete his masterpiece.,1,mnli_287349
get out of here for heaven's sake i've never heard of one,"Wow, you're kidding me, I have never even heard of one.",0,mnli_15250
A man and a woman are sitting on a bench outside a wooden building.,man and woman wait for ride,1,snli_8878
Let me just be quiet for a minute or two. ,Being quiet will help me.,1,mnli_118581
A man with a cigarette hanging out his mouth playing pool.,a man in a pool hall is smoking.,0,snli_76013
"Two women wearing colorful skirts and t-shirts are dancing in a dirt clearing in the center of a circle of other women, who are clapping.",Some women demonstrate there dance to adoring fans.,1,snli_364819
A young girl walking along side a small creek,a girl taking a hike,1,snli_545617
"In Victoria Gardens, don't miss the stone elephant from Elephanta Island; it belongs to the Victoria and Albert Museum nearby, a reminder of the old history of Imperial Bombay.",Look for the stone elephant when you visit Victoria Gardens.,0,mnli_14873
yeah i just heard about this last week uh they were bragging about it with uh uh,They boasted about it last week.,0,mnli_24839
Two dogs are looking at each other.,The dogs are in a dog park.,1,snli_298497
Many people are gathered on a street and there is a security guard there.,A large group of people are gathered outside around a security guard near a street.,0,snli_155748
people are walking down the street.,People are outside in the snow.,1,snli_362070
no it was just one of the what is that pulse no not the pulse,It was indeed the pulse.,2,mnli_97512
A group of workers are staring at a map and two men are pointing at the map.,The men are making a decision.,1,snli_7115
"celabre populated by such larger-than-life characters as Haywood, Darrow, and McParland; all wrapped around a history lesson about the class bitterness of a century ago.",They were focused on the modern day classes.,2,mnli_198065
The great burden of government is that it spends your money.,The government spending your money is the great burden.,0,mnli_336391
A boy wearing sunglasses on his forehead and a woman wearing sunglasses on her eyes are staring.,A boy and a woman are wearing sunglasses and shutting their eyes.,2,snli_376651
Skateboarder doing a kick flip off of a raised platform onto a sidewalk.,Skateboarder is preparing for a skateboarding competition this weekend.,1,snli_24501
"I nodded, clearing my throat.",I cleared by throat and nodded my head.,0,mnli_24541
"I had a slew of comfortable rooms with cushions everywhere, and a fridge forever stocked with fatty foods.",The room was full stocked and comfortable to provide the perfect movie date setting.,1,mnli_317686
"Existing planning, budgeting, program evaluation and fiscal accountability processes should be integrated with GPRA requirements to ensure consistency and reduce duplication of effort.",Duplication of effort can be reduced by integrating some existing processes with GPRA requirements. ,0,mnli_289387
More time,Less time,2,mnli_42841
A man is working on the wheel area of a black mercedes while another man is standing and taking a picture of something that is in front of the car.,A man is fixing the brake pads.,1,snli_236542
because i'm afraid what if it gets you know because you can inhale it if if you're if a room full of it,"I know if people are smoking around me, it won't get in my bloodstream.",2,mnli_332661
A woman in a black shirt is taking a helmet off a little kid.,The child was riding a bike.,1,snli_523095
oh but now i enjoy it every once in a while i mean it's not something i'd want to do real often i'm a sissy i either want to do it in the fall or spring you know,It isn't the sort of thing that I would enjoy doing on a regular basis.,0,mnli_189206
Nobody's quite sure where the dinosaurs came from.,Dinosaurs are from the core of the earth.,2,mnli_270309
"A man walking down the street with his hands in his pocket, and an elderly woman stands near a staircase with her hand on her purse.",A man is wearing pants.,1,snli_297553
or um what a lot of kids do here is um they have things to school where they have actual they have a holiday game night but every your uh your uh fee if you want to call it or the way you get admitted to going to this show is to,I went to a game night to end world hunger.,1,mnli_133224
A white-shirted man is leaping from the stage into the crowd.,A man stage-diving at a rock concert,1,snli_115014
"At the end of FY 1998, there were 27,952 post offices.",There were plans in place to build more post offices.,1,mnli_163341
A smiling man in a green shirt driving a vehicle.,The man seems very angry driving a vehicle.,2,snli_469913
"A man pushes a miniature train engine which a little boy, possibly his son, is riding down a track at a park of some sort.",A boy and his father are enjoying their time at a park.,0,snli_210933
A swimmer doing the breaststroke in a pool.,A swimmer uses the pool.,0,snli_14519
Two men lift a brown dog up so it can grab a large blue rope hanging down a black wall.,Two men lift up a white cat.,2,snli_173333
Onlookers view picture with wires and lights.,The picture is on a wall.,1,snli_23205
An old man on a bicycle riding along a wooded country road with sun filtering through the treetops.,The man is walking to the store,2,snli_11684
This year's additions to the hall of shame are Johnson and Wales University and Mount Marty College.,Due to their misconduct Johnson and Wales University were added to the Hall of Shame. ,1,mnli_176272
A drag race car being worked on by 3 people on a track,Three people working on a drag race car are mechanics.,1,snli_345737
Two dogs standing in the snow.,Two dogs are standing.,0,snli_149154
"This Johnny was just a wig and a smear of lipstick on a clenched fist, but he made Seeor Wences that rarest of performers, a genuinely funny ventriloquist.",Seeor's performances garnered him international fame and recognition.,1,mnli_30770
An Amish lady hangs up clothes to dry outside on a line.,a lady hangs up fabric outside,0,snli_234336
a young man on a white surfboard jumping over a huge wave,The young surf boarder jumped the huge wave.,0,snli_34591
 Please check the Project Gutenberg Web pages for current donation methods and addresses.,"For current donation methods or addresses, look at the Project Gutenberg Web pages.",0,mnli_85665
An elderly Asian woman carries fruit in a shallow round basket.,An older Asian woman is carrying fruit.,0,snli_238852
Investment boosts labor productivity because workers can produce more per hour when they have more and better equipment and better skills (capital deepening).,Better equipment and better skills boosts labor productivity.,0,mnli_339117
Three people are enjoying on ice.,Three people are enjoying on frozen water.,0,snli_227148
"Internet Envy exists in cyberland itself, too, but it is much more straightforward.",People are envious on the internet.,0,mnli_201332
A winner gets a trophy.,A winner is sleep.,2,snli_503760
i know  i know it's funny that that women even like that show because he really is he's such a jerk but then it's just kind of funny because you you can sit there and laugh and go yeah what a guy  typical,Typical guys are jerks.,0,mnli_197246
A woman is viewing fresh meats and seafood at a deli in a grocery store.,A woman is picking up groceries for dinner.,1,snli_470670
images are missing images are missing images are missing images are missing images are missing images are missing,there is no image,0,snli_152238
well anyway i sure have enjoyed uh  talking to you about this although it has been difficult but uh,"I hated speaking to you, because you are boring.",2,mnli_280578
"A group of indian people, one dressed in white and the other in red, are sitting on a rug, doing something with tea.",Two indian people are preparing a ritual on a rug with tea,1,snli_542300
"Some children are playing on a trampoline, a boy in a red shirt is covering his face as he cries.",The boy in the red shirt hurt himself on the trampoline.,1,snli_360734
A person is overlooking a cliff.,She is at the bottom of the cliff.,2,snli_160912
A man drives a green jeep over a few jagged rocks.,The jeep levitates over the rocks,2,snli_215531
Children are dressed in butterfly wings outside of a house.,The children are inside watching TV.,2,snli_375846
An' it was a pleasure to do fo' a gentleman.,It really would have put me out so I refused to do it.,2,mnli_322738
There are three people in jeans and shirts standing outside with spray cans.,The three people are preparing to spray paint something.,1,snli_198099
A man with a white shirt and a woman with a white shirt are talking on their phones.,The man and woman are talking to eachother on the phone.,1,snli_491396
"Instead, all taste, all aesthetic judgment, all pleasure taken in things, must be a matter of what economists call positionality.",Positionality accounts solely for all personal preferences in economics.,0,mnli_209224
A woman holding a rope against a river current.,An old woman is holding a rope.,1,snli_75507
A woman preparing to serve a meal on the beach.,The woman is serving the food in the kitchen.,2,snli_311184
Two black women are watching a performance.,Two women watching a performance.,0,snli_520403
A woman in a black shirt eating a salad.,It is a ceaser salad,1,snli_381599
and uh i did the whole house myself as a matter of fact i had the foundation poured the concrete poured and the rest of all the building i did entirely on my own which was quite a project uh i don't,It took me three months to do the whole house on my own.,1,mnli_330415
A competitive runner stops to tie his shoes.,The man is barefoot.,2,snli_295788
One skier on a snowy hill is walking towards a small shack with his arms and ski poles extended as he goes.,The person decides to stay inside.,2,snli_468812
Three musicians are playing their instruments.,People are watching people play.,1,snli_212261
yeah i i cast a ways i'm not highly proficient but it's fun,I'm not great but I enjoy it.,0,mnli_301833
"Its subject isn't the power of enchantment but the power of Benigni to celebrate, Jerry Lewis-like, his own beautiful martyrdom.",It focuses on Benigni's ability to celebrate his own martyrdom.,0,mnli_187665
The volleyball player looks exhausted after a game of volleyball.,A volleyball player looks tired.,0,snli_226380
"Therefore, injection of sorbent, and possibly water for humidification, will most often be performed downstream of the air preheater and upstream of the electrostatic precipitator, where the gas temperature is typically in the range of 280-300 eF.",The gas temperature upstream of the electrostatic precipitator is in the range of 280-300 degrees F.,0,mnli_22048
"And because East and West were separate cities in earlier years, you will find a central post office, bus station, YMCA, and even consulates duplicated in both parts of the city.",There are lots of structures in the East that are duplicates of the ones in the West due to their previous separation.,0,mnli_115948
A small brook meanders through the autumn woods.,A picture of the outdoors.,0,snli_525489
Two people are posing for a picture in front of city lights.,People posing for pictures in fron of city lights.,0,snli_346603
"HHS is requesting that OMB provide a 30day comment period with OMB approval by June 1, 1997, for a 180-day period.",Comment periods are sometimes used by advocacy groups to stage protests.,1,mnli_72011
oh it's fairly good size i mean it's it's not it's not small but it's certainly small by Atlanta standards,Atlanta's history has a strong effect on its perceptions.,1,mnli_214159
Asian people in a temple praying over a smokey urn.,People are in a mega mall.,2,snli_242973
A younger boy trying to shave while an older man in the background is watching him.,The boy has shaving cream on his face.,1,snli_497697
"Adjacent is the (Gene) Autry Museum of Western Heritagefounded by the king of the balladeer cowboys, who rode the range in films from the 1930s to the 1950s.",His museum houses the preserved corpse of his own horse.,1,mnli_97893
"A trash man pushes his cart past a sign that says ""Entrada"" and a picture of a man emblazoned on the wall.",A homeless trash man pushes his cart.,1,snli_485500
A child that is dressed as Spiderman is ringing the doorbell.,It is Halloween.,1,snli_121459
"A concert during Lollapalooza a music festival, where hundreds of fans have their hands in the air and orange and yellow pieces of paper are flying around everywhere.",many people are in a crowd at a large festival,0,snli_463739
And then there's everyone else in the city.,The city is home to a bunch of people who can't be reduced to a single group.,0,mnli_236813
A side view picture of 3 band members on stage performing with lead singer in the foreground.,4 band members perform on stage,0,snli_166918
"They failed, though one effort was close enough, but their attempts would not have been made at all if they had not been convinced through their arts that you can succeed with the sky.""  Dave shook his head.",They lost their confidence in Dave. ,1,mnli_19629
you know there are people will kind of set up their own little club,You know there are people that will not set up their own little club.,2,mnli_297423
Three horses and a person against a sunset.,The person wrangled the horses.,1,snli_429894
"A dog, wearing a coat, looks up from the snow.",A dog looks up from the snow.,0,snli_416316
They shouldn't have needed to torture the crone.,The crone did not like being tortured.,1,mnli_6139
A hiker relaxing on a clay hillside.,A man is walking up a clay hillside.,2,snli_51516
A man wearing an orange shirt and a purple scarf plays a blue and brass saxophone for a crowd.,Street performers are popular in the city.  This sax playing street performer has style and energy of his own.,1,snli_284056
"I guess you've had some few adventures.""",I guess you haven't done anything exciting in a while.,2,mnli_344691
"A man, wearing a short pink skirt, long striped socks, a pink tank top, and a hairnet, is juggling knives to the amusement of onlookers.",The man is a part of a traving circus.,1,snli_296910
A woman monitoring a baby as it plays with nearby luggage.,A sad woman monitoring a baby as it plays with nearby luggage.,1,snli_437837
A man sits on a couch outside under an overpass.,A man is running a marathon.,2,snli_37219
"An ethnic band including a dancer, singer, a violinist, and a dancing pair perform in front of an audience on a brightly decorated stage.",People are performing for an audience,0,snli_79591
Brunelleschi's design was never completed but the interior preserves the spatial clarity of his Corinthian-capitaled colonnades.,"Construction was underway for 30 years, but stalled when Brunelleschi died.",1,mnli_370786
Two men are working in the dark and only have the headlights of their truck to see by.,The men don't need the light of the truck.,2,snli_222950
A woman wearing a white shirt is playing a slot machine.,A woman is driving.,2,snli_502937
A rock climber uses sophisticated equipment to rappel down the side of a cliff.,The rock climber is a man,1,snli_510903
Ca'daan and the others circled to see what the rest of the crowd watched.,Ca'daan knew there was nothing to see.,2,mnli_381897
Couple dancing in the center of a circle of spectators.,A couple sits down to eat their lunch.,2,snli_381443
Dogs pulling a sled in a sled race.,dogs are evil,2,snli_151715
ACCESS TO RECORDS,Records exist.,0,mnli_176472
"You could just ask him what he makes of, say, van Pelt's assertion that the answer to the riddle of the gas chambers was all over the archives, or what he thought of the chemist's declaration that the test performed for cyanide was the wrong test.",Van Pelt says gas chambers could be explained in the archives of the capital.,1,mnli_223013
The key thing about Story No.,The least relevant thing about Story No.,2,mnli_43676
Governments are apt to be a bit hidebound over their engines of war.,Governments usually publish all their war information in the news papers.,2,mnli_249165
A brown-haired young woman in a green sweater is mixing some yellow substance in a pyrex measuring cup with a whisk.,the woman ordered a burger at the new restaurant,2,snli_225053
A person drawing Chinese characters with his feet.,A person is using green ink to write symbols.,1,snli_193479
"A man on horseback, inside a corral, is chasing a steer.",girl watches bird,2,snli_162466
Man wearing a gray jacket sitting on a green bench petting a black dog wearing a red collar.,Someone is sitting on a park bench playing with their dog.,1,snli_542581
A female performer with a violin plays on a street while a woman with a blue guitar looks on.,A woman with a blue guitar watches a performer with a violin,0,snli_103818
A woman in a white dress is holding flowers and standing next to a little girl in a white dress.,The woman is near the little girl.,0,snli_169339
and so that we went i guess it was two weekends ago we went uh car shopping and looked around uh,"and we went and looked for a car, this was about two weeks ago",0,mnli_198129
"The original designer, Erwin von Steinbach, began the pink Vosges sandstone facade in 1277, but only got as far as the splendid Gallery of Apostles over the central rosewindow.",Vosges was made of pink stone.,0,mnli_157809
what what is your major in school that your ah super that sounds good and you're finishing up this year huh,This is your last year.,0,mnli_22485
The youth choir is performing.,People are singing.,0,snli_403191
"Two women, wearing white shirts, colorful scarfs, white gloves, dark sunglasses and hats, wave to others.","A pair of women, dressed colorfully, wave to their friends.",1,snli_484699
A man riding a bull in a rodeo.,A man riding a cow with an udder.,2,snli_302350
A wet brown dog is playing with a white ball.,The dog is retrieving the ball so its master can throw it again.,1,snli_451801
A couple are seated together and viewing a computer monitor.,Two people are in front of a computer.,0,snli_199159
"And to the north of the palace are the 13th-century Gothic Notre-Dame and, along the Rue de la Chouette and the Rue Verrerie, attractive late-Gothic and Renaissance houses, with picturesque inner courtyards, that have been transformed into antiques shops.","Notre-Dame was built in the 18th century, in the classical style.",2,mnli_36850
'You're the ones that'll lead us.',You are not going to take us anywhere.,2,mnli_75953
A man standing on a boat full of people hands a child over to a man that is not on the boat.,The people are all eating cafeteria food at the tables in the building.,2,snli_489640
A man walks toward a car in a parking lot.,the man moved in the direction of a vehicle,0,snli_45462
A man is wearing an Alaska sweatshirt.,The man is wearing a sweatshirt.,0,snli_7244
"The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.",The Dali Lama was celebrating a holiday.,1,snli_348394
A man sitting against a building with a woman holding a sign.,A man is sitting down by a building.,0,snli_186206
A lady is singing a song on the mic.,A lady is singing,0,snli_272882
Hair stylist performing a haircut.,A hairstylist is giving her friend a haircut for free.,1,snli_33021
His shows are more 700 Club than Crossfire . His guests almost always share Moyers' belief about the topic at hand.,Moyers' belief usually seems to be factually accurate and reasonable. ,1,mnli_226550
"Two girls are sitting in their home and one of them is sitting on a chair, the other on the floor getting her hair done.",The girl is fixing her hair for prom.,1,snli_397173
"They shrank from the starvation and misery a general strike would entail, and were willing to meet the Government half-way.",They didn't consider the starvation and misery brought on by a general strike and refused compromise with the government.,2,mnli_100662
Young girl in pink coat walking beside man dressed in clown attire and striped pants down a sidewalk.,A girl with pink coat is walking beside clown man.,0,snli_64954
Both speed and accuracy are assessed to decide the winner.,They award a winner based on speed and accuracy.,0,mnli_138691
newly married couple having their first kiss.,Newlyweds kiss in front of the church.,1,snli_415379
A person wearing jeans sits on top of a horse saddle.,A person is trying out a new horse saddles.,1,snli_218746
"'Of course it's me, you fool,' came the Russian accent once again.",The person let me know they were there.,0,mnli_367140
"A moderate stroll takes you to Higashiyama's Gion district, Kyoto's main historical center of traditional theater, arts, and (now) antiques.",Kyoto's main historical center of the arts is the Higashiyama's Gion district.,0,mnli_326180
Two guys are practicing karate in front of a parking lot.,there is a karate competetion going on in society parking anf two boys are participating in it.,0,snli_350103
"Two motorcyclists in red, white and blue coveralls ride on wet pavement.","Two men, wearing attire representative of Germany, are driving a car on dry pavement.",2,snli_129135
"And while a few companies--notably IBM--have embraced the technology, others--like Netscape--strongly object to it.",IBM and Netscape both use the technology at hand.,1,mnli_75556
A well dressed man sleeps in front of a store window advertising books.,A man sleeps outside of a book store waiting for it to open for the day.,1,snli_159856
An African American child is supported by his three peers while riding his bicycle.,A child is riding his bicycle with the help of his friends.,0,snli_179881
"Across from the Bank of Oklahoma, a woman enjoys the scent of her tea.",A woman is enjoying the scent of her tea outdoors.,0,snli_441925
The janitor is vacuuming the floor to make it ready for the day.,The janitor is annoyed while working.,1,snli_372415
Children climb a jungle gym.,An empty gym.,2,snli_199353
A group of elderly peddlers selling blow up balloons and toys along the side of a street.,The elderly peddlers have already sold everything.,2,snli_131176
A man in black stands beside a tall building.,A man is standing.,0,snli_291048
"(Having seen so many episodes and observed the formula, I have thought it would be amusing to write an episode set in a think tank.","I have watched many episodes, and I want to write one.",0,mnli_343367
A man with a guitar playing in front of a group of girls wearing hats.,a man plays guitar for some girls,0,snli_208997
He was wearing a Gauntlet.,His Gauntlet was made of silver. ,1,mnli_28076
"Adults, and children in school uniforms, move through a flock of pigeons.",adults are singing to the children,1,snli_78035
Two men are standing underneath a waterfall.,Can't swim in a waterfall,2,snli_45908
A major limit to realizing this improvement is the lack of counseling available to address patients' alcohol problems in most EDs.,This improvements has limits addressing patients' alcohol problems.,0,mnli_90109
"Four people are walking along a city sidewalk, while the one in the green hat talks on a cellphone.",A businessman is plotting to leave his submarine in the fall.,2,snli_328661
"Communication would be broken down, and to the extent in which communication of mind with mind has become impossible, it would be equally impossible to realize the idea of a lie.",It was possible to communicate mind to mind.,2,mnli_56750
"A group of protesters march in the street, carrying signs that read ""Free Gaza"".",a group is protesting in the street and cops are about to break it up,1,snli_102299
Man with cigarette kisses woman in bar.,The man does not kiss anyone.,2,snli_500800
"Couple, man and woman, with little girl all of them dressed in wedding apparel while standing along shoreline.",A family poses for a picture at home on their couch,2,snli_414398
Soldiers are outdoors cooking steaks and brats on a grill.,Soldiers are girlling food for a party.,1,snli_309132
Two brown dogs chase and playfully fight with each other on the sandy beach.,Two dogs are at the pound.,2,snli_49277
but yeah i don't have to buy jogging shoes all too often mine don't get very much use,My jogging shoes can last for quite awhile.,0,mnli_140734
A man in a black cowboy hat hangs on as the bucking bronco under him jumps in the air.,There is a man jumping,0,snli_68980
People in bright clothing walk and stand on a sidewalk.,People in dark colors stand in the snow,2,snli_418178
Workers are serving up customers lined up in front of a Martins famous louisiana sausages vendor tent,There are a group of people eating cotton candy.,2,snli_446940
"Their popularity surpassed the wildest expectations of the company's owner from Kolatkowo, who in a fit of happiness, threw himself off a bridge.",The owner of the company threw himself off of a bridge.,0,mnli_7968
"Individuals in uniform, some camouflage and some yellow, dip silver apparatuses into red and blue buckets.",People are wearing uniforms and performing some type of activity.,0,snli_489959
A shirtless guy performing a trick on a small bicycle.,A man performs a flip on a bicycle.,1,snli_162248
A man in a black shirt and hat plays guitar.,The man is good at guitar.,1,snli_222020
A teacher in a purple hat talks to five school children.,A teacher is talking to her school children.,0,snli_27009
"The people were at first cool to the war, despite the jingoism of flashy aristocratic aesthete and author Gabriele D'Annunzio and his friend, an ex-socialist newspaperman named Benito Mussolini.",The people were for the war at first.,0,mnli_11465
The Natural History Museum of Los Angeles County and its branch in Burbank are great for the whole family.,The whole family can appreciate The Natural History Museum of Los Angeles County and its branch in Burbank.,0,mnli_44099
yeah that was good i liked uh i also liked uh Cujo did you read that one,"Of what I have read, Cujo was the only one I hated.",2,mnli_123932
yeah that's pretty pretty strange well they they've already said that um who is it i guess it's Susan Dey and and uh whoever plays Kuzak isn't coming back next year so some of this some of this has to do with why they're not coming back i guess,The actor who protrays Kuzak will not be returning.,0,mnli_180749
A man in a white hat and backpack stands on a log in the middle of a lake.,man watching football match at home,2,snli_536226
Two workers in uniform are standing next to some heavy machinery.,Two workers are standing by heavy machines,0,snli_67349
A man and a child in the sand with sand toys.,The people are having fun playing in the sand.,1,snli_521325
A woman reaching out to lights.,There is someone reaching towards the light,0,snli_352867
Two dogs jump for the same tennis ball as a dog runs with a Frisbee in the background,two dogs are jumping,0,snli_231269
A young boy kicking a soccer ball with a young girl in the background.,A young boy and young girl played soccer.,0,snli_395276
"Even though the intervention did not decrease drinking, it did decrease drinking-related consequences, which may be part of what we're looking for in this setting.",The intervention didn't lower drinking rates.,0,mnli_263551
really yeah Paul Hogan no really i'm surprised,I'm surprised that Paul Hogan stood up against that.,1,mnli_316629
EPA is developing a rule to limit mercury emissions from utilities.,The EPA doesn't think a limit on mercury emissions is necessary.,2,mnli_225152
"Me, I've been trailin' round this here country since th' moon was two-bit size.",I've been wandering around the country for a while.,0,mnli_361562
Little boy wearing a dark blue shirt and yellow shorts playing with a soccer ball in grass.,A boy is near a soccer ball.,0,snli_111745
But he sees clearly that everything must be risked for the sake of that damning piece of evidence. ,The evidence was crucial in the case.,0,mnli_211428
People stand on the street next to a pile of hay.,People are removing pile of hay from the ground.,2,snli_446026
Two elderly men sitting at the hospital.,There are two elderly men at the hospital.,0,snli_381033
A man inside a red race car gives a thumbs up sign.,A man is in a car at a Nascar race.,1,snli_83085
oh are you where did you live,"I know you live in Dallas now, but where did you used to live?",1,mnli_109439
A man standing next to a little girl standing in a garbage can in a yard.,The two people are sitting.,2,snli_154105
A young girl who is sitting on a giant orange pumpkin and is surrounded by pots of flowers smiles for the camera.,There is a person holding the camera.,0,snli_243098
A beautiful woman is being dressed.,a woman is getting dressed,0,snli_226158
A child holding a helium filled balloon is standing in front of what appears to be a construction site.,There is a kid with outdoors.,0,snli_18192
a crowd cheers on a sled dog racer.,A sled dog racer just won the tournament,0,snli_440618
A healthy and fit girl wearing a sports outfit is vaulting on a sunny and clear day.,A fit and healthy African girl is vaulting on a sunny and clear day,1,snli_304407
A young boy in a red coat fishes off a pier and looks down at the water.,The boy is above the water.,0,snli_129249
and then what they what are they going to do and if they tell anybody people always say oh they're just senile you know huh-uh  and that ain't right neither,People always say you're just crazy.,0,mnli_316411
A man in a sweatshirt and blue jeans is taking a nap on a bench.,A man is taking a nap on a bench.,0,snli_535445
A man in a denim shirt is turning a Fender Telecaster with lights behind him.,A boy is holding an instrument.,0,snli_515139
"You're Dave Hanson,"" Ser Perth said flatly.",Ser Perth did not greet Dave Hanson in a particularly friendly manner.,0,mnli_384675
A man in a suit gives a presentation to a crowd of people.,The man is well dressed.,0,snli_264048
"Across the river on the west bank are the remains of other temples, and more importantly, the burial places of the great Pharaohs of Ancient Egypt, hidden in a slender valley beyond the narrow fertile river plain.",There are no temple remains on the west bank at all.  ,2,mnli_144805
Brown and black dog with red and white jacket run on road in rural area.,A dog moves quickly.,0,snli_284416
"A woman is dressed and face is painted with forks, spoons and knifes.",A woman is going to work.,2,snli_52125
okay it's been nice talking to you,I've had a horrible time talking to you.,2,mnli_325553
"They were like the ones in The Last Picture Show , with wrinkles around the middle and unreliable straps that slid around on the shoulders, uneasily contending with the bra straps.",They were streamlined and tight fitting.,2,mnli_367697
USE OF TECHNOLOGY,Technology use.,0,mnli_277131
Household  Micro Theories and Micro Facts.,There are many facts and theories on household. ,1,mnli_134117
"In contrast to the Mediterranean coast, the Atlantic offers wide open spaces, beaches with rolling waves and high dunes, and vast stretches of quiet pine forests.",The Atlantic is not something you can see everyday and should be visited.,1,mnli_390233
The index can be translated into an expected product defect rate.,There is no expectation for product defects.,2,mnli_40924
were abandoned.,Are being occupied.,2,mnli_24025
Two men are walking on a street past a group of young women.,Two men are leaving their favorite restaurant from lunch.,1,snli_309196
"Young girl in pink and green bikini, swimming with a rubber ring.",A young female in pink and green is swimming with a rubber ring.,0,snli_485528
A student is rushing to class while wearing headphones.,The hallways are crowded.,1,snli_513683
A juggler on a very tall unicycle entertains a group of people sitting outside a stone building under hand-painted flags.,a man is juggling,0,snli_444224
All in good time.,Eventually if you're a good boy.,1,mnli_13801
"A woman holding a pink balloon and wearing a fuzzy pink tiara, and a man with his head tilted slightly forward and smiling with his mouth wide open are standing next to one another.",The man is laughing at his own joke.,1,snli_32839
A motorcycle rider is in midair in front of a crowd.,The man is scared of motorcycles and refuses to get on one.,2,snli_85490
"And very good reasons too, replied Poirot. ",Poriot said there were good reasons.,0,mnli_281681
"There are a few good schools, even in Harlem, which have succeeded by doing end runs around the unionized bureaucracy of the central system.",There aren't any adequate schools in the Harlem area.,2,mnli_158175
"At the top of Grafton Street, where it meets busy Nassau Street, you will see Jean Rynhart's statue of Molly Malone, subject of the well-known 18th-century ballad, with her barrow and a very low d??colletage.","Molly Malone is an obscure figure, since not many people know about her ballad.",2,mnli_39136
The piece includes a handy quiz for couples who want to diagnose their viability.,The piece includes a two day quiz for couples.,2,mnli_348494
A lady in jeans and high heels.,A women is wearing a dress.,2,snli_233025
A man and a woman sit on a ledge in front of a window.,a man and woman together,0,snli_500293
a taxi cab with a mama mia ad on top of it,A taxi cab with a Lord of the Rings ad on top of it,2,snli_68340
A woman in a white hat is conversing with another woman with a bike on a busy street.,A woman is talking to a man.,2,snli_521448
Two men wearing black vests and white shirts and a girl are holding bottles of beer.,A girl is serving beer to two men.,1,snli_364160
The Valley of the Kings lies out of view in the hills behind Hatshepsut's Temple.,The Valley of the Kings is not in the view.,0,mnli_302654
A helicopter is flying behind a plane that is performing aerobatics.,Two vehicles flying.,0,snli_313024
Warehouse workers standing near a loader.,Workers standing around,0,snli_395029
"Archaeologists have located some 7,000 of these nuraghi structures around the island, most of them flattened cone towers believed to be parts of fortified citadels.",Archaeologists found nothing of value on the island.,2,mnli_279695
A young lady sitting on a folding chair outside of her parked car.,Someone is sitting outside of a car.,0,snli_189359
but uh and then so we're when we're in New Hampshire everybody else is in that area anyway and usually somebody will drive in from New York so uh it's usually some kind of uh semi reunion,There's usually about 20 of us that go to New Hampshire.,1,mnli_151183
A man in a green shirt riding an exercise bike in a health club.,A naked man has taken over the health club.,2,snli_222195
"People on a bus, riding and looking out the windows.",Three women ride a bus.,1,snli_256400
Several groups of pedestrians on a city street during the day.,There is a group of people protesting in the street.,1,snli_436474
no that one would might get you in trouble,That one is the best and safest option.,2,mnli_121412
A group of people are coming through long tunnel with three escalators in it.,People are in a tunnel.,0,snli_203332
Two employees knead and prepare dough for use with making cakes as seen through the window.,Two employees kneading dough before a large baking competition.,1,snli_64295
"A young child wearing a pink dress, playing with a blue sandal.","A young child wearing a pink dress, playing with a blue sandal she took from her father.",1,snli_399750
A man is standing on a scaffolding doing some work.,"A man is standing on a scaffolding, waiting to be hung.",2,snli_538525
One of the three friends tried to describe what he saw using only his hands.,The man has no hands,2,snli_482657
A seated man playing a small guitar next to a standing man plucking a bass.,The two men are singing an opera together.,2,snli_343306
"I drew, stabbed through the man's shoulder, and took off his left ear.","I quietly snuck past the man, not wanting to draw my sword because of him.",2,mnli_202588
Two little girls grinding with a mortar and pestle.,Two boys work with mortar and pestle.,2,snli_269152
"Either the chloral was administered by her own hand, which theory I reject utterly, or else  """,The other explanations were all sinister. ,1,mnli_116529
and so there's uh well i guess three or four different labs and they're all very nice uh computers all tied together on the LAN and one server that handles all the software so that the teachers don't have to go around to each machine and do their work they can control it from the machine the server it's it's a beautiful system but uh the only bad thing it seems to do is uh not the computer necessarily but the company the school system seems to put a little bit more pressure on the kids than uh than we had of course of course i guess with that learning comes that pressure,"Since the computers aren't connected, the teachers have to go from computer to computer to teach each student.",2,mnli_302240
A man and a woman are talking in a conference room.,Two men chat in a smoking lounge.,2,snli_526358
